title,subtitle_or_edition,type,in_storage,publisher,min_players,max_players,best_players,bgg_id,bgg_title,bgg_year,poll_votes,confidence,purchase_date,notes
Sky Team,,base game,no,Scorpion Masque,2,2,2,373106,Sky Team,2023,433,high,2025-08-02,
Slay the Spire,The Board Game,base game,no,Contention Games,1,4,2,338960,Slay the Spire: The Board Game,2024,360,high,2024-06-01,
Dune: Imperium,Uprising,base game,no,Dire Wolf,1,6,4,397598,Dune: Imperium - Uprising,2023,511,high,,
Tiny Towns,,base game,no,Alderac Entertainment Group,1,6,3,265736,Tiny Towns,2019,311,high,2019-05-31,
Cthulhu: Dark Providence,,base game,no,CMON Global Limited,1,5,4-5,404509,Cthulhu: Dark Providence,2025,37,high,,
Emerald Skulls,,base game,no,Gemklub,1,6,5,421762,Emerald Skulls,2025,15,high,,
Boss Monster,The Dungeon Building Card Game,base game,no,Brotherwise Games,2,4,4,131835,Boss Monster: The Dungeon Building Card Game,2013,155,high,,
Innovation Ultimate,,base game,no,Asmadi Games,2,5,2,388367,Innovation Ultimate,2025,41,high,2025-02-20,
Portal,The Uncooperative Cake Acquisition Game,base game,no,Cryptozoic Entertainment,2,4,2-3,159406,Portal: The Uncooperative Cake Acquisition Game,2015,22,high,,Jeep Barnett
Concordia,,base game,no,PD-Verlag,2,5,4,124361,Concordia,2013,778,high,2019-08-18,"Spine label reads ""+ Salsa Expansion"" (expansion stored inside)"
Aeon Trespass,Odyssey,base game,no,Into the Unknown,1,4,1-2,242705,Aeon Trespass: Odyssey,2022,172,high,2022-11-28,
Flip 7,,base game,no,The Op Games,3,18,5-6,420087,Flip 7,2024,295,high,2025-07-19,BGG player range is 3-18
So Clover!,,base game,no,Repos Production,3,6,3-4,329839,So Clover!,2021,215,high,,
Frosthaven,,base game,no,Cephalofair Games,1,4,3,295770,Frosthaven,2022,274,high,2022-11-12,Standalone sequel to Gloomhaven
Unsettled,,base game,no,"Orange Nebula, LLC",2,4,2,290484,Unsettled,2021,140,high,2021-10-28,"Box range is 2-4; BGG community poll covers 1-4, best at 2"
Clank! Legacy: Acquisitions Incorporated,,base game,no,Dire Wolf,2,4,4,266507,Clank! Legacy: Acquisitions Incorporated,2019,154,high,2020-01-08,"Standalone legacy game - titled in full so it does not group with Clank!: A Deck-Building Adventure, which polls best at a different count"
Altar Quest,,base game,no,Blacklist Games,1,4,1-2,273703,Altar Quest,2020,63,high,2020-11-13,
Space Gits,,base game,no,Planet Smasher Games,2,5,,444186,Space Gits,2025,0,high,2025-10-23,No BGG player poll yet (0 votes) so no best-at figure
Gaslands,Refuelled,base game,no,Osprey Games,2,8,2-3,274428,Gaslands: Refuelled,2019,20,high,2019-07-31,"Mike Hutchinson; BGG lists four publishers alphabetically, Osprey Games is the English edition. Thin poll (20 votes)"
The Restless,,base game,no,(Self-Published),1,4,4,450522,The Restless,2025,2,high,2026-08-13,"Winslow Dumaine, self-published. Very thin poll (2 votes) behind the best-at-4 figure. Distinct from Restless (BGG 422741), an unrelated fantasy game"
Blue Moon Legends,,base game,no,Fantasy Flight Games,2,2,2,147154,Blue Moon Legends,2014,31,high,2020-09-22,"Reiner Knizia; BGG lists six publishers, Fantasy Flight Games is the English edition. FFG compilation of the 2004 Blue Moon card game with its expansions"
Small World,,base game,no,Days of Wonder,2,5,4,40692,Small World,2009,1130,high,,"Philippe Keyaerts; BGG lists fourteen publishers, Days of Wonder is the original English edition. Reimplements Vinci. Owned for years, no acquisition date"
UnderQuest,,base game,no,Grey Gnome Games,1,1,1,207992,UnderQuest,2026,4,high,2026-09-02,"Dustin Cox & Jason Glover. Solo only. Very thin poll (4 votes). No purchase-history entry, dated to when it was added to the library"
